title,address,access,age,floor,fee,management_fee,deposit,gratuity,floor_plan,area
コンフォリア中落合,東京都新宿区中落合２,"
西武新宿線/下落合駅 歩6分
都営大江戸線/中井駅 歩12分
西武池袋線/椎名町駅 歩14分
","
築12年
3階建
","
											1階",12.9万円,10000円,12.9万円,-,1LDK,40.11m2
コンフォリア中落合,東京都新宿区中落合２,"
西武新宿線/下落合駅 歩6分
都営大江戸線/中井駅 歩12分
西武池袋線/椎名町駅 歩14分
","
築12年
3階建
","
											2階",13.5万円,10000円,13.5万円,-,1LDK,40.11m2
コンフォリア中落合,東京都新宿区中落合２,"
西武新宿線/下落合駅 歩6分
都営大江戸線/中井駅 歩12分
西武池袋線/椎名町駅 歩14分
","
築12年
3階建
","
											1階",13.6万円,10000円,13.6万円,-,1LDK,40.11m2
ポルタ西新宿,東京都新宿区西新宿５,"
都営大江戸線/西新宿五丁目駅 歩5分
東京メトロ丸ノ内線/西新宿駅 歩9分
ＪＲ山手線/新宿駅 歩16分
","
築19年
3階建
","
											3階",13万円,10000円,13万円,13万円,1LDK,37.9m2
ポルタ西新宿,東京都新宿区西新宿５,"
都営大江戸線/西新宿五丁目駅 歩5分
東京メトロ丸ノ内線/西新宿駅 歩9分
ＪＲ山手線/新宿駅 歩16分
","
築19年
3階建
","
											2階",13.2万円,8000円,-,13.2万円,1LDK,37.9m2
ポルタ西新宿,東京都新宿区西新宿５,"
都営大江戸線/西新宿五丁目駅 歩5分
東京メトロ丸ノ内線/西新宿駅 歩9分
ＪＲ山手線/新宿駅 歩16分
","
築19年
3階建
","
											3階",13万円,10000円,13万円,13万円,1LDK,37.9m2
コンフォリア西新宿,東京都新宿区北新宿１,"
東京メトロ丸ノ内線/西新宿駅 歩5分
ＪＲ中央線/大久保駅 歩8分
ＪＲ山手線/新宿駅 歩14分
","
築16年
15階建
","
											5階",10.7万円,10000円,10.7万円,-,1K,26.11m2
コンフォリア西新宿,東京都新宿区北新宿１,"
東京メトロ丸ノ内線/西新宿駅 歩5分
ＪＲ中央線/大久保駅 歩8分
ＪＲ山手線/新宿駅 歩14分
","
築16年
15階建
","
											12階",11.9万円,10000円,11.9万円,-,1K,26.43m2
コンフォリア西新宿,東京都新宿区北新宿１,"
東京メトロ丸ノ内線/西新宿駅 歩5分
ＪＲ中央線/大久保駅 歩8分
ＪＲ山手線/新宿駅 歩14分
","
築16年
15階建
","
											15階",12.2万円,10000円,12.2万円,-,1K,26.11m2
コンフォリア西新宿,東京都新宿区北新宿１,"
東京メトロ丸ノ内線/西新宿駅 歩5分
ＪＲ中央線/大久保駅 歩8分
ＪＲ山手線/新宿駅 歩14分
","
築16年
15階建
","
											6階",15.8万円,10000円,15.8万円,-,1LDK,38.74m2
